date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:10:28	131/131	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2008%20Sep%202021%2014:40:28%20GMT	https://preview.codeless.co/robots.txt		(from )
20:10:29	53154/53154	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20Sep%202021%2014:40:29%20GMT	https://preview.codeless.co/folie/portfolio-product-fullscreen/	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/index.html	(from )
20:10:29	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2008%20Sep%202021%2014:40:30%20GMT	https://preview.codeless.co/folie/portfolio-product-fullscreen/xmlrpc.php	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/xmlrpc.php	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:30	4279/4279	---MCZ	200	added ('OK')	text/css	etag:W/%225936f6a4-19b5%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/codeless-online.css?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/codeless-online76d7.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:30	1411/1411	---MCZ	200	added ('OK')	text/css	etag:W/%225ddbbecb-695%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.1.5	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/plugins/contact-form-7/includes/css/stylesc6ac.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:31	17198/17198	---MCZ	200	added ('OK')	text/css	etag:W/%225936f6a2-574f%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/bootstrap.css?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/bootstrap76d7.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:31	1873/1873	---MC-	200	added ('OK')	application/rss+xml	etag:%2278eb4d184786bede1a034ee12d5a683f%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/?feed=rss2	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/indexd784.html	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:31	1808/1808	---MC-	200	added ('OK')	application/rss+xml	etag:%22cd3c5a6ca30057b0ca343e69cdb7fc70%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/?feed=comments-rss2	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/indexa6da.html	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:32	101002/101002	---MCZ	200	added ('OK')	text/css	etag:W/%225b97bbe1-21ee8%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/style.css?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/style76d7.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
20:10:32	57592/57592	---MCZ	200	added ('OK')	text/css	etag:W/%225b951880-11d8d%22	https://preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/codeless-front-elements.css?ver=4.9.18	C:/Kaiwal%20Redmi/mohit%20bhai%20Photography/preview.codeless.co/folie/portfolio-product-fullscreen/wp-content/themes/folie/css/codeless-front-elements76d7.css	(from https://preview.codeless.co/folie/portfolio-product-fullscreen/)
